run,type,module,name,attrname,attrvalue,value
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].appl,generatedWSMs,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].appl,receivedWSMs,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].appl,generatedBSMs,,,136
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].appl,receivedBSMs,,,2604
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].appl,generatedWSAs,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].appl,receivedWSAs,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.phy80211p,busyTime,,,0.01991294117647
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,ReceivedBroadcasts,,,2604
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,SentPackets,,,136
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,SentAcknowledgements,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,RetriesExceeded,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,SNIRLostPackets,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,RXTXLostPackets,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,TotalLostPackets,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,TooLittleTime,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,TimesIntoBackoff,,,136
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,SlotsBackoff,,,198
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,NumInternalContention,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,totalBusyTime,,,0.285096
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,retriesExceeded:count,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,sentAcks:count,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,sentPackets:count,,,136
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,collisions:count,,,0
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].nic.mac1609_4,channelBusy:timeavg,,,0.02096294117647
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].veinsmobility,startTime,,,13.1
Scenario1-2-20260625-11:58:53-4450,scalar,Scenario.node[13].veinsmobility,totalTime,,,13.5
